sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0.4642,-0.4418,10.1832,0.3301,-0.8435,10.2171,-0.0005,-0.8986,10.2526,-0.4946,-0.5358,9.9578,-0.1411,-0.3709,9.9473
0.2945,-0.234,10.0316,0.1126,-0.8851,10.0487,-0.3271,-0.8916,10.157,-0.5389,-0.4457,10.1445,-0.236,-0.1985,10.0562
0.1589,-0.2268,10.1572,0.1923,-0.5713,10.1267,-0.5405,-0.8905,9.9807,-0.6065,-0.5329,9.9858,-0.3479,-0.2301,10.1326
0.0493,-0.1883,9.9901,-0.1815,-0.409,9.9872,-0.6219,-0.7467,9.9538,-0.7878,-0.3861,9.9189,-0.3288,-0.0019,9.8026
-0.0405,0.1085,9.793,-0.2632,-0.5757,9.9771,-0.7285,-0.2705,9.9832,-0.9111,-0.0546,9.9854,-0.3593,0.2571,9.8488
-0.4576,0.2048,9.9328,-0.2183,-0.1876,9.7835,-0.8391,-0.2551,10.1322,-0.8762,0.0534,9.9446,-0.5964,0.3565,9.8899
-0.4902,0.3309,9.7983,-0.4103,0.0284,9.7946,-0.8753,0.0348,9.7503,-1.0026,0.2377,9.891,-0.3759,0.5121,9.7311
-0.53,0.2988,9.7653,-0.389,0.1466,9.7901,-0.9484,0.2646,9.8776,-0.9216,0.3211,9.8559,-0.8518,0.6707,9.6253
-0.4491,0.567,9.8104,-0.8287,0.4045,9.7755,-0.9274,0.2923,9.743,-0.8474,0.6267,9.6225,-0.4862,0.7461,9.6999
-0.4588,0.4625,9.65,-0.5046,0.4649,9.5911,-0.9287,0.4178,9.7129,-0.8397,0.7957,9.6641,-0.4716,1.0425,9.5784
-0.3431,0.5685,9.6565,-0.6154,0.5738,9.6908,-0.8874,0.4637,9.7653,-0.9757,0.8049,9.5409,-0.2848,0.7768,9.6106
-0.2558,0.6846,9.6601,-0.3154,0.326,9.7466,-0.643,0.5184,9.6147,-0.6269,0.9174,9.6494,-0.5524,0.9359,9.744
-0.2243,0.7764,9.5567,-0.5019,0.3249,9.9104,-0.4675,0.4825,9.4777,-0.5947,0.8135,9.4981,-0.1048,0.7663,9.6021
-0.0153,0.476,9.5511,-0.0342,0.37,9.5268,-0.422,0.4116,9.5638,-0.6242,0.5916,9.4988,-0.2501,0.5617,9.6126
0.1456,0.3733,9.7423,-0.1495,0.3513,9.5695,-0.2083,0.4447,9.5524,-0.4021,0.5706,9.7407,0.0113,0.5205,9.585
0.3218,0.4709,9.6755,0.1069,0.2746,9.7455,-0.0194,0.2039,9.7763,-0.135,0.5319,9.7044,0.0964,0.5763,9.6769
0.3737,0.1407,9.6577,0.2799,-0.0011,9.8468,-0.0004,0.0513,9.6568,0.0223,0.2553,9.631,0.0818,0.2762,9.6722
0.5717,0.2057,9.7778,0.3888,-0.1389,9.7867,0.3761,0.1484,9.7373,0.2172,0.2033,9.6194,0.5667,0.3171,9.5956
0.6008,-0.0312,9.7616,0.5354,-0.146,9.9285,0.2715,-0.1434,9.9018,0.4322,-0.0245,9.9645,0.5149,-0.0165,9.8746
0.7432,-0.063,9.9029,0.6341,-0.5851,9.9235,0.5135,-0.3781,10.1136,0.5922,-0.0241,9.8471,0.6262,-0.1436,10.065
0.6397,-0.4276,9.9711,0.6663,-0.4376,9.8048,0.3375,-0.4221,9.8964,0.4408,-0.5189,10.0278,0.7325,-0.5409,9.6142
0.8001,-0.4371,9.9477,0.6818,-0.4594,9.8756,0.4696,-0.5944,10.1007,0.5675,-0.6537,10.0081,0.814,-0.4441,10.0337
0.9572,-0.3866,10.0412,0.7736,-0.9014,10.0027,0.6111,-0.7247,10.0595,0.5812,-0.5524,10.023,0.7755,-0.4466,10.1714
0.7899,-0.6014,10.1786,0.5325,-0.8104,10.4429,0.4405,-0.7235,10.1115,0.4122,-0.5972,10.3863,0.4876,-0.3941,10.1553
0.7873,-0.6637,10.034,0.6139,-1.0353,10.1037,0.4505,-0.6264,10.1993,0.4915,-0.5885,10.1881,0.6016,-0.4868,9.9922
0.794,-0.6494,10.0706,0.6544,-0.7213,10.1193,0.3561,-0.923,10.2613,0.3151,-0.6489,10.2145,0.4036,-0.4966,10.2042
0.5349,-0.6003,10.1498,0.4227,-0.8518,10.2001,0.2022,-0.5867,10.1029,0.2322,-0.4872,10.2272,0.4509,-0.1551,10.1265
0.4479,-0.2354,10.2046,0.4178,-0.4286,10.1661,0.0429,-0.4649,10.1762,-0.0784,-0.3137,10.3671,0.3998,-0.2763,10.2921
0.3431,-0.2178,10.331,0.2271,-0.3229,10.3394,-0.1001,-0.3568,10.3431,-0.0443,-0.0955,10.3016,0.2246,-0.1283,10.2136
-0.015,-0.1541,10.4698,0.0994,-0.4036,10.3248,-0.155,-0.335,10.3053,-0.1761,0.1381,10.1642,0.059,-0.0206,10.2275
-0.096,0.1383,10.1982,-0.1189,-0.2264,10.2293,-0.474,-0.0885,10.2144,-0.3932,0.0347,10.2374,-0.2059,0.2788,10.0668
-0.0996,0.1661,10.1984,-0.2455,0.0697,10.2847,-0.4837,0.0186,10.2401,-0.5104,0.2367,9.9665,-0.1726,0.3634,10.029
-0.2681,0.4117,10.3059,-0.2902,0.1458,10.1283,-0.6586,0.0826,9.9694,-0.6694,0.4633,9.9852,-0.4248,0.403,10.131
-0.4486,0.5123,10.0685,-0.5812,0.214,9.9313,-0.7904,0.2975,10.1148,-0.7181,0.5826,10.026,-0.4312,0.6298,10.1822
-0.284,0.6408,9.96,-0.4993,0.8189,9.9808,-0.8549,0.4125,10.1336,-0.8736,0.7467,10.2307,-0.5878,0.8655,10.2063
-0.5512,0.7233,9.8606,-0.6357,0.5045,9.8763,-0.8681,0.4481,9.9836,-0.9418,0.7073,9.9319,-0.5086,1.0291,10.1644
-0.5162,0.7039,9.8469,-0.5515,0.4636,9.9124,-0.6777,0.5433,9.8645,-0.7607,0.8517,10.0509,-0.8,0.6361,9.802
-0.4273,0.5529,9.889,-0.4103,0.3289,9.9419,-0.839,0.3915,9.7297,-0.9204,0.9018,9.8248,-0.4173,0.7828,9.8174
-0.2923,0.6746,9.9498,-0.6134,0.3645,9.7161,-0.5857,0.5044,9.7932,-0.8243,0.6548,9.7767,-0.8071,0.904,9.8252
-0.3525,0.3551,9.6743,-0.5906,0.3342,9.6644,-0.8115,0.4504,9.7935,-0.6416,0.5403,9.7708,-0.4517,0.7581,9.8315
-0.2522,0.4321,9.8102,-0.4496,0.2735,9.5373,-0.6244,0.0191,9.6682,-0.6414,0.5909,9.6579,-0.6029,0.4403,9.631
-0.0939,0.3549,9.6885,-0.2764,-0.0111,9.6012,-0.4578,0.0514,9.7473,-0.6475,0.463,9.5417,-0.2865,0.4526,9.7152
-0.0237,0.1223,9.6101,-0.1864,-0.0018,9.6449,-0.5066,0.0438,9.7209,-0.3447,0.3228,9.4215,-0.1509,0.1464,9.5694
0.1098,-0.3229,9.3241,-0.031,-0.2465,9.4412,-0.2369,-0.2315,9.5679,-0.0889,-0.0616,9.5408,0.1268,0.0267,9.4444
0.412,-0.2825,9.7757,0.1063,-0.467,9.5342,-0.0184,-0.4559,9.4609,-0.0432,-0.1923,9.4898,0.2486,-0.1268,9.5976
0.3107,-0.663,9.5274,0.2559,-0.5837,9.3164,0.3278,-0.3641,9.5913,0.1362,-0.4324,9.4876,0.3773,-0.1887,9.5531
0.5708,-0.6481,9.4866,0.36,-0.7259,9.5519,0.1632,-0.6184,9.5274,0.4103,-0.2331,9.404,0.5102,-0.4705,9.7298
0.7816,-0.7373,9.67,0.7095,-0.8027,9.6332,0.327,-0.5763,9.5679,0.4923,-0.4263,9.5219,0.5452,-0.3478,9.4713
0.7525,-0.8536,9.6503,0.5565,-0.7115,9.5726,0.5609,-0.5465,9.5061,0.494,-0.6064,9.6858,0.6348,-0.4818,9.555
0.9069,-0.7593,9.7658,0.7859,-0.8861,9.7892,0.5285,-0.4785,9.5374,0.4829,-0.3513,9.7055,0.56,-0.555,9.6455
0.7714,-0.4196,9.5215,0.6976,-0.8998,9.7293,0.4603,-0.6002,9.6814,0.4697,-0.664,9.7567,0.4809,-0.5235,9.7717
0.7543,-0.5546,9.7272,0.6804,-0.7318,9.8134,0.354,-0.5509,9.759,0.334,-0.4048,9.8066,0.6591,-0.4328,9.7318
0.728,-0.4876,9.8719,0.7146,-0.5371,9.9463,0.4912,-0.1961,9.8631,0.4095,-0.2745,9.9112,0.7555,-0.2391,9.6799
0.6856,-0.3129,9.7296,0.6709,-0.359,9.9077,0.3862,-0.2877,9.929,0.5925,-0.2436,9.8864,0.5242,-0.1878,9.723
0.7422,-0.2441,10.057,0.6552,-0.1065,9.9853,0.3264,-0.1983,9.8668,0.2855,-0.0552,10.0357,0.4498,0.1892,10.1123
0.5318,0.0849,10.019,0.3853,-0.1814,10.0544,0.0644,-0.1056,9.9193,0.2868,0.18,9.9614,0.4931,0.213,10.0581
0.2692,0.1809,10.2971,0.3055,0.1282,10.2457,0.151,0.2074,10.205,0.2344,0.2772,10.2685,0.2752,0.385,10.113
0.2845,0.2299,10.3527,0.184,0.0896,10.1966,-0.141,0.0634,10.2176,-0.1039,0.3947,10.1027,0.2689,0.2467,10.2704
0.3555,0.6279,10.1198,-0.0532,0.1906,10.3891,-0.1325,0.1593,10.2597,-0.2187,0.5379,10.3798,0.1282,0.6997,10.1106
0.0068,0.5237,10.3064,-0.0619,0.3066,10.3022,-0.5272,0.3966,10.391,-0.4217,0.7191,10.27,-0.2957,0.634,10.2078
-0.2845,0.7821,10.1652,-0.2629,0.6672,10.2254,-0.6268,0.3172,10.37,-0.739,0.7024,10.2799,-0.2445,0.7903,10.416
-0.2108,0.6796,10.3272,-0.4613,0.5822,10.3407,-0.7135,0.656,10.1534,-0.7892,0.7784,10.2959,-0.6312,0.7202,10.2813
-0.3747,0.5265,10.3307,-0.4757,0.3609,10.3845,-0.7869,0.4226,10.3579,-0.805,0.8042,10.2942,-0.4509,1.0955,10.189
-0.379,0.4573,10.2672,-0.494,0.173,10.4238,-0.8401,0.4132,10.1793,-0.8271,0.681,10.1577,-0.5803,0.9211,10.2561
-0.2974,0.6603,10.2179,-0.7324,0.3387,10.1569,-1.064,0.4564,10.4418,-0.8029,0.6314,10.162,-0.7001,0.8484,10.3464
-0.3152,0.1644,10.2483,-0.4831,0.0208,10.3076,-0.9461,0.2321,10.1341,-0.7649,0.5877,10.1714,-0.7147,0.5988,10.1673
-0.1316,0.0814,10.1168,-0.5099,-0.0629,10.249,-1.1074,-0.0215,10.1977,-0.7186,0.4325,10.3032,-0.4396,0.6862,10.1832
-0.2076,-0.1515,10.1093,-0.4054,-0.0948,10.0795,-0.9095,-0.2406,10.1839,-0.7792,0.3996,10.0704,-0.3188,0.1801,10.2388
-0.0886,-0.0936,10.1859,-0.4553,-0.3948,10.0542,-0.9668,-0.3374,9.9921,-0.6441,0.1596,10.1937,-0.3543,0.2289,10.1636
0.0748,-0.4678,9.8985,-0.4189,-0.7539,9.9887,-0.759,-0.4409,10.1301,-0.7216,0.0122,10.0484,-0.1646,-0.043,9.8993
0.0509,-0.3529,9.9534,-0.4197,-0.8049,9.8619,-0.5337,-0.4731,10.1611,-0.5441,-0.1296,9.9479,-0.0323,-0.25,10.001
0.3061,-0.7765,9.8433,-0.2102,-0.7427,9.8569,-0.5404,-0.5449,9.9295,-0.2592,-0.329,9.8452,0.2619,-0.2609,9.8655
0.5144,-0.8479,9.8429,-0.0059,-1.0305,9.8475,-0.3162,-0.6399,9.7407,-0.101,-0.3956,9.877,0.5537,-0.5167,9.9526
0.5863,-0.7739,9.8653,0.049,-1.0493,9.7841,-0.3508,-0.722,9.8702,0.0166,-0.3749,9.9832,0.6008,-0.3374,9.8295
0.6505,-0.963,9.6289,0.07,-0.9249,9.7747,-0.2279,-0.5023,9.7808,0.1124,-0.2353,9.7486,0.5985,-0.5137,9.6974
0.7848,-0.8789,9.7569,0.2725,-1.1492,9.64,-0.1453,-0.6672,9.5641,0.4029,-0.1839,9.5883,1.0113,-0.4313,9.7386
0.8509,-0.9296,9.6409,0.2764,-0.8735,9.8134,-0.1224,-0.5125,9.5156,0.2539,-0.0697,9.6061,1.0396,-0.3591,9.7111
0.9695,-0.6623,9.6151,0.2452,-0.7998,9.5767,0.2631,-0.242,9.7399,0.5809,0.0422,9.6079,1.0877,-0.1354,9.5622
1.0064,-0.7261,9.4404,0.3441,-0.6728,9.5727,0.1635,-0.2126,9.6173,0.6039,0.2141,9.641,1.0424,-0.0415,9.705
0.8591,-0.5682,9.3563,0.281,-0.4877,9.5985,0.2477,0.0779,9.795,0.6875,0.2563,9.5513,1.2191,0.1144,9.5911
0.8341,-0.344,9.6855,0.2894,-0.1547,9.5,0.1474,0.2095,9.6773,0.8795,0.4202,9.7304,1.0468,0.018,9.697
0.8501,-0.1894,9.6398,0.321,-0.1373,9.6402,0.0891,0.4599,9.7312,0.4973,0.7009,9.6372,1.0429,0.3684,9.6081
0.7831,-0.0377,9.7397,0.0514,0.012,9.6739,0.0164,0.8369,9.77,0.7052,1.0603,9.6689,1.095,0.334,9.5504
0.5058,0.1494,9.635,-0.1562,0.0321,9.6608,0.067,0.6294,9.6736,0.5065,1.0501,9.6368,1.0575,0.2844,9.5776
0.4423,0.0708,9.4768,-0.2596,0.2886,9.8122,-0.0891,0.8408,9.834,0.404,0.8833,9.7408,0.7583,0.4272,9.7223
0.118,0.1534,9.665,-0.3789,0.4267,9.787,-0.1865,0.9737,9.8423,0.6067,1.038,9.7883,0.7098,0.3759,9.8896
0.1373,0.148,9.788,-0.3732,0.3913,9.7258,-0.1631,0.9861,9.8206,0.3706,1.0837,9.8594,0.415,0.5619,9.8269
-0.2471,0.1414,9.8987,-0.4786,0.5358,9.8038,-0.4077,1.2105,9.9095,0.0723,1.0418,9.9847,0.3873,0.5165,9.7232
-0.3726,-0.0299,9.8791,-0.9343,0.5155,9.7179,-0.4621,0.8676,9.783,0.1693,0.9442,9.8682,0.3301,0.4618,9.8911
-0.6132,-0.0234,10.0149,-0.981,0.4633,9.7991,-0.5999,0.9445,9.9096,-0.0073,0.6524,10.0505,0.2032,0.181,9.916
-0.7022,-0.0649,10.1117,-1.073,0.3794,9.9747,-0.8551,0.7115,10.0043,-0.1874,0.711,9.8958,0.166,0.161,10.096
-0.9135,-0.2688,9.9076,-1.1872,0.2646,9.8611,-0.804,0.749,10.0007,-0.1603,0.4296,9.9006,-0.0933,-0.1285,9.9356
-0.9408,-0.3229,9.9417,-1.0184,0.1352,10.077,-0.8859,0.3667,10.1097,0.0498,0.4556,10.0011,-0.0765,-0.2133,10.0398
-1.1435,-0.4659,10.0068,-1.0545,-0.0609,9.9628,-0.6092,0.2246,10.0596,0.0254,0.1361,10.0065,-0.3689,-0.5126,9.9775
-1.0053,-0.6169,10.0304,-1.215,-0.3032,9.9942,-0.7987,0.0547,9.9365,-0.1947,-0.1296,10.0122,-0.35,-0.8298,9.9991
-0.846,-0.8945,10.0886,-1.1509,-0.1664,10.1044,-0.7283,-0.0325,9.8943,-0.2415,-0.2915,9.8624,-0.3861,-0.6985,10.0486
-0.946,-0.8565,9.8705,-0.9473,-0.37,9.8137,-0.5008,-0.2879,9.9937,0.0265,-0.5304,9.7885,-0.3868,-1.0343,9.925
-0.7225,-0.8923,9.6732,-1.0567,-0.5593,9.8545,-0.3795,-0.0896,9.9069,0.2095,-0.5774,9.8871,-0.3772,-0.9024,9.9011
-0.7923,-0.9272,9.8098,-0.6632,-0.4781,9.9183,-0.1325,-0.3254,10.0684,0.1768,-0.6545,9.9853,-0.1291,-1.1529,9.7139
-0.4953,-0.7719,10.0427,-0.4302,-0.3781,9.5419,0.0726,-0.3381,9.9767,0.2481,-0.5229,9.9333,-0.0566,-1.0181,9.8936
-0.2985,-0.856,9.8414,-0.352,-0.3912,9.9053,0.1311,-0.2488,9.7763,0.1606,-0.5519,9.9093,0.177,-1.0338,9.8576
-0.3043,-0.8066,9.622,-0.1177,-0.2392,9.7785,0.2159,-0.1334,9.8881,0.5806,-0.616,9.6786,0.1886,-0.8515,9.7557
0.0113,-0.5868,9.6793,-0.1213,-0.1054,9.5581,0.4904,-0.1243,9.4839,0.6397,-0.4162,9.684,0.391,-0.8238,9.7368
0.1155,-0.3127,9.6131,0.2395,-0.0397,9.6886,0.7801,0.0166,9.4705,0.8076,-0.2734,9.4851,0.3712,-0.8031,9.6041
0.2387,-0.2287,9.5356,0.2072,0.148,9.4777,0.6656,0.0683,9.522,0.8361,-0.3182,9.5792,0.6201,-0.4851,9.3816
0.217,-0.1689,9.3809,0.3653,0.3513,9.3883,0.759,0.3062,9.4857,0.9602,-0.1984,9.3264,0.5356,-0.0164,9.4591
0.2121,0.1305,9.5362,0.4161,0.5083,9.3061,0.8919,0.1607,9.4488,0.9521,-0.0122,9.4646,0.5207,0.0722,9.4009
0.1323,0.2088,9.4077,0.565,0.6586,9.3371,0.9665,0.5321,9.3594,1.0518,0.197,9.5242,0.568,0.103,9.3655
0.3681,0.5154,9.4085,0.5343,0.6317,9.5281,0.7429,0.7567,9.2879,0.8255,0.419,9.3339,0.5083,0.181,9.2091
0.4473,0.427,9.4428,0.5774,0.8278,9.372,0.8555,0.6774,9.2651,0.8446,0.3879,9.3473,0.5897,0.3044,9.4605
0.3378,0.6556,9.1554,0.5488,0.8954,9.2909,0.7354,0.6606,9.2013,0.8264,0.5498,9.1546,0.4301,0.4238,9.1998
0.2556,0.5492,9.1892,0.4122,0.7575,9.2389,0.761,0.6973,9.456,0.779,0.6115,9.253,0.3721,0.5225,9.1054
0.0338,0.7402,9.2439,0.1494,0.8185,9.3427,0.6139,0.5674,9.5471,0.5105,0.5089,9.4557,0.1514,0.4065,9.275
-0.0456,0.5955,9.2833,0.051,0.7167,9.4657,0.4852,0.7589,9.3015,0.37,0.4911,9.5441,0.3043,0.454,9.538
0.1079,0.48,9.3459,-0.032,0.622,9.5692,0.2034,0.6397,9.4288,0.2966,0.3683,9.3203,0.0558,0.359,9.451
-0.3309,0.3546,9.584,-0.1971,0.4637,9.2503,0.0965,0.3644,9.5023,-0.0396,0.3283,9.2411,-0.1147,0.0438,9.4321
-0.4936,0.0638,9.6346,-0.2893,0.383,9.5394,-0.1422,0.249,9.5735,-0.0218,0.2248,9.4743,-0.2524,-0.0779,9.4988
-0.4194,-0.0792,9.6567,-0.3729,0.3383,9.7703,-0.0883,0.0181,9.6058,-0.1704,-0.0583,9.7422,-0.4221,-0.0557,9.5833
-0.5223,-0.0667,9.5131,-0.4867,-0.0572,9.4545,-0.2668,0.0017,9.4411,-0.3219,-0.191,9.5699,-0.5416,-0.1897,9.7044
-0.5803,-0.3707,9.6998,-0.646,-0.0615,9.8222,-0.3818,-0.2248,9.8448,-0.2631,-0.2383,9.7309,-0.7363,-0.4188,9.8426
-0.8467,-0.3925,9.78,-0.7721,-0.6019,9.8558,-0.4398,-0.3997,9.6874,-0.5771,-0.4164,9.7447,-0.7195,-0.4987,9.7859
-0.8827,-0.5381,9.9689,-0.7312,-0.4673,9.9494,-0.4499,-0.3529,9.8945,-0.613,-0.7225,9.7458,-0.7782,-0.8217,9.9774
-0.7903,-0.6265,9.8261,-0.6302,-0.7067,9.7949,-0.5608,-0.5464,9.8707,-0.6019,-0.5537,9.8507,-0.6385,-0.5986,9.6716
-0.7279,-0.6081,9.9011,-0.7699,-0.4903,10.0089,-0.4152,-0.4147,9.993,-0.5338,-0.5976,10.2282,-0.7972,-0.5567,9.8947
-0.6774,-0.7429,9.9115,-0.659,-0.4791,10.0916,-0.6067,-0.5103,10.081,-0.625,-0.5804,10.018,-0.5602,-0.9535,9.9786
-0.5395,-0.808,9.9511,-0.7721,-0.4957,9.9613,-0.5784,-0.4961,10.0858,-0.2365,-0.561,10.0255,-0.6005,-0.7534,10.0593
-0.4775,-0.6103,9.9852,-0.4094,-0.2932,10.0375,-0.2524,-0.4279,9.9778,-0.3717,-0.4597,10.2039,-0.3882,-0.6307,10.0984
-0.397,-0.5317,10.064,-0.5651,-0.2159,10.1333,-0.123,-0.3453,10.0598,-0.1283,-0.3886,10.1023,-0.3034,-0.5677,9.8986
-0.2879,-0.2275,10.1094,-0.2899,0.0131,10.0442,-0.0193,-0.2839,9.8891,0.1402,-0.2856,9.9422,-0.2869,-0.5005,9.9168
-0.1236,0.0241,10.0184,-0.1471,0.1926,10.094,0.1763,0.096,10.1185,0.0734,-0.0112,10.0693,0.0797,-0.3123,10.0463
0.0873,-0.0003,10.0302,-0.0622,0.4096,10.1565,0.3254,0.1464,9.9194,0.3409,-0.0005,9.939,0.1046,-0.0027,10.1777
0.0388,0.1941,9.8379,0.2643,0.3759,9.7767,0.4095,0.2684,9.9691,0.4254,0.1755,9.9933,0.2274,0.0575,9.7229
0.4025,0.3335,9.8536,0.5137,0.4757,10.0664,0.7227,0.4014,9.9301,0.6872,0.2486,10.15,0.3354,0.0038,9.8781
0.4218,0.5842,9.7437,0.3716,0.584,9.8482,0.5546,0.7216,9.9776,0.5907,0.2756,10.1196,0.574,0.3425,9.9516
0.3819,0.516,9.8081,0.3767,0.9616,9.8882,0.5895,0.5451,9.9603,0.852,0.302,9.8837,0.5737,0.3207,9.9148
0.4231,0.5787,9.7695,0.5804,0.6998,9.7475,1.0157,0.6753,9.8065,0.7871,0.556,9.8523,0.5966,0.6062,9.8027
0.4555,0.6199,9.6479,0.6366,0.7699,9.7228,0.6533,0.8727,9.7349,0.7138,0.5557,9.6211,0.6617,0.7953,9.847
0.4539,0.6317,9.5242,0.6355,0.7596,9.6101,0.8743,0.6713,9.511,0.7829,0.6826,9.7021,0.4932,0.3792,9.6661
0.2966,0.5871,9.5112,0.6735,0.7598,9.6977,0.7902,0.732,9.5822,0.7558,0.4623,9.7523,0.4513,0.46,9.4966
0.2547,0.6534,9.5575,0.6319,0.698,9.6012,0.7296,0.5569,9.5285,0.703,0.3514,9.2859,0.5418,0.331,9.6474
0.3265,0.2064,9.5233,0.3983,0.7327,9.418,0.6176,0.3948,9.5869,0.6171,0.2622,9.3706,0.5464,0.2596,9.4541
0.1127,0.2502,9.516,0.2634,0.5147,9.4281,0.6674,0.3566,9.6497,0.5301,0.1093,9.5712,0.2921,0.0189,9.4056
0.0184,0.074,9.2201,0.0937,0.3411,9.4623,0.3275,0.1257,9.4018,0.3505,-0.1834,9.5308,-0.0382,-0.1575,9.3687
-0.131,-0.0777,9.3825,0.1934,0.0162,9.3286,0.1832,-0.0681,9.2545,0.2618,-0.2317,9.4588,-0.0957,-0.4538,9.2694
-0.3018,-0.2002,9.2349,0.0078,-0.2224,9.4967,0.0614,-0.1778,9.4096,-0.0292,-0.385,9.4314,-0.4026,-0.4821,9.2669
-0.4256,-0.4033,9.429,-0.362,-0.3503,9.4457,-0.0503,-0.3018,9.3492,-0.0416,-0.5735,9.5359,-0.4686,-0.5716,9.3847
-0.5364,-0.4655,9.3807,-0.4287,-0.4764,9.229,-0.1925,-0.3901,9.4247,-0.3177,-0.7672,9.512,-0.4185,-0.5601,9.303
-0.6922,-0.6462,9.3327,-0.5463,-0.3597,9.4734,-0.4855,-0.5059,9.3589,-0.3836,-0.6375,9.679,-0.4816,-0.8156,9.4029
-0.7976,-0.6977,9.4773,-0.5958,-0.5829,9.3709,-0.4189,-0.5482,9.5612,-0.6078,-0.8041,9.4453,-0.6909,-0.8932,9.4548
-0.8017,-0.5966,9.3172,-0.5228,-0.5,9.5132,-0.4478,-0.69,9.465,-0.5217,-0.8189,9.545,-0.5503,-0.82,9.5392
-0.7898,-0.6922,9.5556,-0.8903,-0.5416,9.4024,-0.3868,-0.5855,9.5915,-0.6699,-0.8895,9.6085,-0.7896,-0.7869,9.7031
-1.0515,-0.5043,9.5327,-0.7628,-0.33,9.6707,-0.3174,-0.6033,9.4078,-0.502,-0.6318,9.493,-0.7936,-0.7374,9.4703
-0.7536,-0.4005,9.7282,-0.5212,-0.1728,9.566,-0.4341,-0.2357,9.5882,-0.5636,-0.6491,9.4923,-0.9205,-0.4645,9.9199
-0.8813,-0.1341,9.6505,-0.6296,-0.2935,9.8591,-0.317,-0.2926,9.7598,-0.6042,-0.4136,9.9573,-0.7516,-0.4665,9.8539
-0.6848,-0.1501,9.7243,-0.4911,-0.101,9.7485,-0.3601,-0.204,9.6793,-0.1191,-0.1533,9.99,-0.4692,-0.2165,9.799
-0.5586,0.1606,9.73,-0.6141,0.1211,9.9865,-0.2988,0.2778,9.9163,-0.1398,-0.0745,9.6867,-0.3453,0.0089,9.8104
-0.5078,0.1799,9.8844,-0.3782,0.2602,9.9428,-0.0837,0.3145,9.9042,-0.0935,0.2519,10.0464,-0.3973,0.1686,9.9197
-0.3486,0.4328,9.8739,-0.1267,0.6729,9.9657,0.2494,0.3941,9.9072,0.084,0.2153,10.0456,-0.1277,0.1495,9.9877
-0.326,0.5216,10.0371,-0.0735,0.417,10.0144,0.3119,0.4881,10.0545,0.4117,0.4431,9.8792,-0.1885,0.2076,9.9914
0.0327,0.3833,9.9582,0.0809,0.8479,10.1233,0.3288,0.7266,10.0567,0.5806,0.5969,9.8714,0.2114,0.5289,10.0105
0.253,0.7159,10.1052,0.2254,0.8877,10.0674,0.5273,0.7168,9.9552,0.6091,0.4856,10.0555,0.2844,0.5476,9.9953
